Page,Image Path,Content,Table
12,uploads/images\toaz.info-7fb10-30-vol-2\page_12.png,controller (translated to ko),"[{'': 'BOARD INSPECTION', 'Page': '3-2'}]"
13,uploads/images\toaz.info-7fb10-30-vol-2\page_13.png,"board inspection when the cause of a trouble is judged to exist in the cpu board or the dc/md board, connect sst (09240-23400-71 or 09230-13700-71) to the corresponding connector and measure the applied voltage and resistance at each connector. always disconnect the battery plug before measuring the resistance. (translated to ko)",[]
14,uploads/images\toaz.info-7fb10-30-vol-2\page_14.png,(2) measurement method and standard list ① how to read the list (translated to ko),[]
15,uploads/images\toaz.info-7fb10-30-vol-2\page_15.png, (translated to ko),"[{'Connector No.↔ Connector No.': 'CN101-15 (146, BBC)', 'Conditions': 'Immeasurable', 'Standard': '', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN101-16 (61, LSTF)', 'Conditions': 'Key switch OFF, LSTF ON', 'Standard': 'Approx. 0 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN101-17 (62, LSTR)', 'Conditions': 'Key switch OFF, LSTR ON', 'Standard': 'Approx. 5 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN101-18 (70, SWTK)', 'Conditions': 'Key switch OFF, SWTK ON', 'Standard': 'Approx. 5 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN101-19 (90, MHT)', 'Conditions': 'Lift cylinder at the bottom position', 'Standard': 'Approx. 0 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN101-20 (91, MH2-1)', 'Conditions': 'Lift cylinder at the bottom position', 'Standard': 'Approx. 5 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN101-21 (92, MH2-2)', 'Conditions': 'Lift cylinder at the bottom position', 'Standard': 'Approx. 5 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN101-22 (69, LSA12)', 'Conditions': 'Unused', 'Standard': '-', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN101-23', 'Conditions': 'Unused', 'Standard': '-', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN101-24 (LSOP12)', 'Conditions': 'Unused', 'Standard': '-', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN101-25 (148, BBLD)', 'Conditions': 'Immeasurable', 'Standard': '-', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN101-26 (51, LS-)', 'Conditions': '', 'Standard': 'Approx. 0 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN101-27 (CP1C)', 'Conditions': 'Unused', 'Standard': '-', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN101-28', 'Conditions': 'Unused', 'Standard': '-', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN101-29', 'Conditions': 'Unused', 'Standard': '-', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN101-30', 'Conditions': 'Unused', 'Standard': '-', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN101-31', 'Conditions': 'Unused', 'Standard': '-', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN101-32 (60, LSL)', 'Conditions': 'Key switch OFF, LSL ON', 'Standard': 'Approx. 5 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN101-33', 'Conditions': 'Unused', 'Standard': '-', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN101-34', 'Conditions': 'Unused', 'Standard': '-', 'Remarks': ''}]"
16,uploads/images\toaz.info-7fb10-30-vol-2\page_16.png, (translated to ko),"[{'Connector No.': 'CN102.1 (61, SWAC)', '↔ Connector No.': 'CN101:22 (69, LSAT2)', 'Conditions': 'Key switch OFF, SWAC ON', 'Standard': 'Approx. 0 V', 'Remarks': ''}, {'Connector No.': 'CN102.1 (61, SWAC)', '↔ Connector No.': 'CN101:22 (69, LSAT2)', 'Conditions': 'Key switch OFF, SWAC OFF', 'Standard': '4 V - 5 V', 'Remarks': ''}, {'Connector No.': 'CN102.2 (52, POTA)', '↔ Connector No.': 'CN101:22 (69, LSAT2)', 'Conditions': 'Key switch OFF, accelerator pedal full depression', 'Standard': '0.5 V - 3 V', 'Remarks': ''}, {'Connector No.': 'CN102.3 (ACPT)', '↔ Connector No.': '', 'Conditions': 'Unused', 'Standard': '-', 'Remarks': ''}, {'Connector No.': 'CN102.4 (56, POT1)', '↔ Connector No.': 'CN101:22 (69, LSAT2)', 'Conditions': 'Variation upon changeover from forward to backward tilting', 'Standard': '0.5 V - 4 V', 'Remarks': ''}, {'Connector No.': 'CN102.5 (59, SPL)', '↔ Connector No.': 'CN101:22 (69, LSAT2)', 'Conditions': '', 'Standard': '0.5 V - 4 V', 'Remarks': ''}, {'Connector No.': 'CN102.6 (81, SSD1)', '↔ Connector No.': '', 'Conditions': 'Traveling in stopped state', 'Standard': 'Approx. 15 V or 0 V', 'Remarks': ''}, {'Connector No.': 'CN102.7 (82, SSD2)', '↔ Connector No.': '', 'Conditions': 'Traveling in stopped state', 'Standard': 'Approx. 15 V or 0 V', 'Remarks': ''}, {'Connector No.': 'CN102.8 (84, SSP+)', '↔ Connector No.': 'CN101:22 (51, LS-)', 'Conditions': '', 'Standard': 'Approx. 0 V', 'Remarks': ''}, {'Connector No.': 'CN102.9 (85, SSP-)', '↔ Connector No.': 'CN102.8 (84, SSP+)', 'Conditions': 'Resistance measurement with battery OFF', 'Standard': 'Approx. 600 Ω', 'Remarks': ''}, {'Connector No.': 'CN102.10 (86, TD+)', '↔ Connector No.': 'CN101:22 (51, LS-)', 'Conditions': '', 'Standard': 'Approx. 4.6 V', 'Remarks': ''}, {'Connector No.': 'CN102.11 (87, TD-)', '↔ Connector No.': 'CN101:22 (51, LS-)', 'Conditions': '', 'Standard': '1 V - 4 V', 'Remarks': ''}, {'Connector No.': 'CN102.12 (88, TP+)', '↔ Connector No.': 'CN101:22 (51, LS-)', 'Conditions': '', 'Standard': 'Approx. 5 V', 'Remarks': ''}, {'Connector No.': 'C102.13 (89, TP-)', '↔ Connector No.': 'CN101:22 (51, LS-)', 'Conditions': '', 'Standard': '1 V - 4 V', 'Remarks': ''}, {'Connector No.': 'CN102.14 (53, POTA+)', '↔ Connector No.': 'CN101:22 (51, LS-)', 'Conditions': '', 'Standard': 'Approx. 4.8 V', 'Remarks': ''}, {'Connector No.': 'CN102.15 (54, ACPT+)', '↔ Connector No.': '', 'Conditions': 'Unused', 'Standard': '-', 'Remarks': ''}, {'Connector No.': 'CN102.16 (57, POT1+)', '↔ Connector No.': 'CN101:22 (51, LS-)', 'Conditions': '', 'Standard': 'Approx. 4.8 V', 'Remarks': ''}, {'Connector No.': 'CN102.17 (58, SPL+)', '↔ Connector No.': 'CN101:22 (51, LS-)', 'Conditions': '', 'Standard': 'Approx. 5 V', 'Remarks': ''}, {'Connector No.': 'CN102.18 (60, SSP+)', '↔ Connector No.': 'CN101:22 (51, LS-)', 'Conditions': '', 'Standard': 'Approx. 14 V', 'Remarks': ''}, {'Connector No.': 'CN102.19 (83, SSD-)', '↔ Connector No.': 'CN101:22 (51, LS-)', 'Conditions': '', 'Standard': 'Approx. 0 V', 'Remarks': ''}, {'Connector No.': 'CN102.20', '↔ Connector No.': '', 'Conditions': 'Unused', 'Standard': '-', 'Remarks': ''}, {'Connector No.': 'CN102.21', '↔ Connector No.': '', 'Conditions': 'Unused', 'Standard': '-', 'Remarks': ''}, {'Connector No.': 'CN102.22 (51, POT-)', '↔ Connector No.': 'CN101:22 (51, LS-)', 'Conditions': '', 'Standard': 'Approx. 0 V', 'Remarks': ''}]"
17,uploads/images\toaz.info-7fb10-30-vol-2\page_17.png, (translated to ko),[]
18,uploads/images\toaz.info-7fb10-30-vol-2\page_18.png, (translated to ko),"[{'Connector No.↔ Connector No.': 'CN104-7 (71, CSDA) ↔ CN104-10 (N2, N2)', 'Conditions': '', 'Standard': 'Approx. 7 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN104-8 (72, CSDB) ↔ CN104-10 (N2, N2)', 'Conditions': '', 'Standard': 'Approx. 7 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN104-9 (13, C20V) ↔ CN104-10 (N2, N2)', 'Conditions': '', 'Standard': 'Approx. 21 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN104-10 (N2, N2) ↔ CN104-10 (N2, N2)', 'Conditions': '', 'Standard': 'Approx. 0 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN104-11 (2, MB-) ↔ CN104-13 (1, MB+)', 'Conditions': 'Resistance measurement with battery OFF', 'Standard': 'Approx. 20 Ω', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN104-12 (P2, VBP2) ↔ CN104-10 (N2, N2)', 'Conditions': '', 'Standard': 'Approx. 50 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN104-13 (1, MB+) ↔ CN104-11 (2, MB-)', 'Conditions': 'Measurement with ∞ probe in contact with CN104-11', 'Standard': 'Approx. 11 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN104-14 (44, VBMB) ↔ CN104-10 (N2, N2)', 'Conditions': '1-2 ton series 3 ton, 3.5 ton', 'Standard': 'Approx. 48 V Approx. 80 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN104-15 (41, B48V) ↔ CN104-10 (N2, N2)', 'Conditions': '3 ton, 3.5 ton', 'Standard': 'Approx. 48 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN104-16 (16, D15V) ↔ CN104-10 (N2, N2)', 'Conditions': '', 'Standard': '14 V - 15 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN104-17 (15, C15V) ↔ CN104-10 (N2, N2)', 'Conditions': '', 'Standard': '14 V - 15 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN104-18 (73, CSP) ↔ CN104-10 (N2, N2)', 'Conditions': '', 'Standard': 'Approx. 7 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN104-19 (74, CSN) ↔ CN104-10 (N2, N2)', 'Conditions': '', 'Standard': 'Approx. 7 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN104-20 (78, THCP) ↔ CN104-10 (N2, N2)', 'Conditions': '', 'Standard': '1 V - 4 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN104-21 (77, THC+) ↔ CN104-10 (N2, N2)', 'Conditions': '', 'Standard': 'Approx. 5 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN104-22 (44, VBMB) ↔ CN104-10 (N2, N2)', 'Conditions': '', 'Standard': 'Approx. 50 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN104-23 (14, GNDD) ↔ CN104-10 (N2, N2)', 'Conditions': '', 'Standard': 'Approx. 0 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN104-24 (14, GNDD) ↔ CN104-10 (N2, N2)', 'Conditions': '', 'Standard': 'Approx. 0 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN104-25 (79, THCP) ↔ CN104-10 (N2, N2)', 'Conditions': '', 'Standard': '1 V - 4 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN104-26', 'Conditions': 'Unused', 'Standard': '', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN104-27 (76, CSD-) ↔ CN104-10 (N2, N2)', 'Conditions': '', 'Standard': 'Approx. 0 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN104-28 (76, CSP-) ↔ CN104-10 (N2, N2)', 'Conditions': '', 'Standard': 'Approx. 0 V', 'Remarks': ''}]"
19,uploads/images\toaz.info-7fb10-30-vol-2\page_19.png, (translated to ko),"[{'Connector No.↔ Connector No.': 'CN105-1 (38, FAN+) ↔ CN104-10 (N2, N2)', 'Conditions': '', 'Standard': 'Approx. 5 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN105-2 (38, FAN+) ↔ CN104-10 (N2, N2)', 'Conditions': '', 'Standard': 'Approx. 5 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN105-3 (35, FANCD) ↔ CN104-10 (N2, N2)', 'Conditions': '', 'Standard': 'Approx. 5 V', 'Remarks': 'Fan stopped (fan ON)'}, {'Connector No.↔ Connector No.': 'CN105-4 (37, FANCP) ↔ CN104-10 (N2, N2)', 'Conditions': '', 'Standard': 'Approx. 4.5 V', 'Remarks': 'Fan stopped (fan ON)'}, {'Connector No.↔ Connector No.': 'CN105-5', 'Conditions': 'Unused', 'Standard': 'Approx. 5 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN105-6 (39, DDC) ↔ CN104-10 (N2, N2)', 'Conditions': '', 'Standard': 'Approx. 4 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN105-7 (40, PDC) ↔ CN104-10 (N2, N2)', 'Conditions': '', 'Standard': 'Approx. 4 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN105-8 (34, CKFAND+) ↔ CN104-10 (N2, N2)', 'Conditions': '', 'Standard': 'Approx. 0 V', 'Remarks': 'Fan stopped (fan ON)'}, {'Connector No.↔ Connector No.': 'CN105-9 (37, CKFAND-)', 'Conditions': 'Immeasurable', 'Standard': '-', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN105-10 (98, CKFANP+) ↔ CN105-11 (99, CKFANP-)', 'Conditions': '', 'Standard': 'Approx. 0 V', 'Remarks': 'Fan stopped (fan ON)'}, {'Connector No.↔ Connector No.': 'CN105-11 (99, CKFANP-)', 'Conditions': 'Immeasurable', 'Standard': '-', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN105-12', 'Conditions': 'Unused', 'Standard': '-', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN105-13', 'Conditions': 'Unused', 'Standard': '-', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN105-14 (100, CHGFAN) ↔ CN104-10 (N2, N2)', 'Conditions': '', 'Standard': 'Approx. 5 V', 'Remarks': ''}]"
20,uploads/images\toaz.info-7fb10-30-vol-2\page_20.png, (translated to ko),[]
21,uploads/images\toaz.info-7fb10-30-vol-2\page_21.png, (translated to ko),"[{'Connector No.↔ Connector No.': 'CN111-1 (150, TMDAU1+) ↔ CN111-14 (P3, TMDAU-SD)', 'Conditions': 'CN111-15', 'Standard': '13 V - 15 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN111-2 (152, TMDAD1+) ↔ (N2, TMDAD-SD)', 'Conditions': 'CN111-15', 'Standard': '13 V - 15 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN111-3 (154, TMDBU1+) ↔ (P5, TMDBU-SD)', 'Conditions': 'CN111-16', 'Standard': '13 V - 15 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN111-4 (155, TMDAU-G) ↔ (P3, TMDAU-SD)', 'Conditions': 'CN111-14', 'Standard': '13 V - 15 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN111-5 (153, TMDAD-G) ↔ (N2, TMDAD-SD)', 'Conditions': 'CN111-15', 'Standard': '13 V - 15 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN111-6 (156, TMDBU-G) ↔ (P5, TMDBU-SD)', 'Conditions': 'CN111-16', 'Standard': '13 V - 15 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN111-7 (157, TMDBD-G) ↔ (N2, TMDBD-SD)', 'Conditions': 'CN111-24', 'Standard': '13 V - 15 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN111-8 (159, TMDCU-G) ↔ (P7, TMDCU-SD)', 'Conditions': 'CN111-25', 'Standard': '13 V - 15 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN111-9 (161, TMDCD-G) ↔ (N2, TMDCD-SD)', 'Conditions': 'CN111-26', 'Standard': '13 V - 15 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN111-10', 'Conditions': 'Unused', 'Standard': '-', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN111-11 (156, TMDBD1+) ↔ CN111-24 (N2, TMDBD-SD)', 'Conditions': 'CN111-24', 'Standard': '13 V - 15 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN111-12 (158, TMDCU1+) ↔ CN111-25 (P7, TMDCU-SD)', 'Conditions': 'CN111-25', 'Standard': '13 V - 15 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN111-13 (160, TMDCD1+) ↔ CN111-26 (N2, TMDCD-SD)', 'Conditions': 'CN111-26', 'Standard': '13 V - 15 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN111-14 (P3, TMDAU-SD)', 'Conditions': 'Immeasurable', 'Standard': '-', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN111-15 (N2, TMDAD-SD)', 'Conditions': 'Immeasurable', 'Standard': '-', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN111-16 (P5, TMDBU-SD)', 'Conditions': 'Immeasurable', 'Standard': '-', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN111-17 (150, TMDAU2+) ↔ CN111-14 (P3, TMDAU-SD)', 'Conditions': 'CN111-14', 'Standard': '13 V - 15 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN111-18 (152, TMDAD2+) ↔ CN111-15 (N2, MDAD-SD)', 'Conditions': 'CN111-15', 'Standard': '13 V - 15 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN111-19 (154, TMDBU2+) ↔ CN111-16 (P5, TMDBU-SD)', 'Conditions': 'CN111-16', 'Standard': '13 V - 15 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN111-20 (156, TMDBD2+) ↔ CN111-24 (N2, TMDBD-SD)', 'Conditions': 'CN111-24', 'Standard': '13 V - 15 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN111-21 (158, TMDCU2+) ↔ CN111-25 (P7, TMDCU-SD)', 'Conditions': 'CN111-25', 'Standard': '13 V - 15 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN111-22 (160, TMDCD2+) ↔ CN111-26 (N2, TMDCD-SD)', 'Conditions': 'CN111-26', 'Standard': '13 V - 15 V', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN111-23', 'Conditions': 'Unused', 'Standard': '-', 'Remarks': ''}]"
22,uploads/images\toaz.info-7fb10-30-vol-2\page_22.png, (translated to ko),[]
23,uploads/images\toaz.info-7fb10-30-vol-2\page_23.png, (translated to ko),[]
24,uploads/images\toaz.info-7fb10-30-vol-2\page_24.png,mmp board (translated to ko),"[{'Connector No.↔ Connector No.': 'CN000-1 (TM***-S2) ↔ CN000-3 (TM***-SD)', 'Conditions': '14 V - 15 V', 'Standard': '', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN000-2 (TM***-1+) ↔ CN000-3 (TM***-SD)', 'Conditions': '14 V - 15 V', 'Standard': '', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN000-3 (TM***-SD) ↔ -', 'Conditions': '-', 'Standard': '', 'Remarks': ''}, {'Connector No.↔ Connector No.': 'CN000-4 (TM***-G) ↔ CN000-3 (TM***-SD)', 'Conditions': '13 V - 15 V', 'Standard': '', 'Remarks': ''}]"
