Page,Word,Count,Translated Word
10,according,1,according (translated to ko)
10,to,2,to (translated to ko)
10,purpose,1,purpose (translated to ko)
10,of,1,of (translated to ko)
10,measurement.,1,measurement. (translated to ko)
10,type:,2,type: (translated to ko)
10,this,1,this (translated to ko)
10,type,1,type (translated to ko)
10,is,3,is (translated to ko)
10,convenient,1,convenient (translated to ko)
10,for,2,for (translated to ko)
10,observing,1,observing (translated to ko)
10,movement,1,movement (translated to ko)
10,during,1,during (translated to ko)
10,"operation,",1,"operation, (translated to ko)"
10,but,2,but (translated to ko)
10,measured,1,measured (translated to ko)
10,value,1,value (translated to ko)
10,only,1,only (translated to ko)
10,reference,1,reference (translated to ko)
10,or,2,or (translated to ko)
10,rough,1,rough (translated to ko)
10,judgement.,1,judgement. (translated to ko)
10,fairly,1,fairly (translated to ko)
10,accurate,1,accurate (translated to ko)
10,reading,1,reading (translated to ko)
10,"possible,",1,"possible, (translated to ko)"
10,it,1,it (translated to ko)
10,difficult,1,difficult (translated to ko)
10,observe,1,observe (translated to ko)
10,variation,1,variation (translated to ko)
10,movement.,1,movement. (translated to ko)
12,controller,1,controller (translated to ko)
13,board,2,board (translated to ko)
13,inspection,1,inspection (translated to ko)
13,when,1,when (translated to ko)
13,the,7,the (translated to ko)
13,cause,1,cause (translated to ko)
13,of,1,of (translated to ko)
13,a,1,a (translated to ko)
13,trouble,1,trouble (translated to ko)
13,is,1,is (translated to ko)
13,judged,1,judged (translated to ko)
13,to,2,to (translated to ko)
13,exist,1,exist (translated to ko)
13,in,1,in (translated to ko)
13,cpu,1,cpu (translated to ko)
13,or,2,or (translated to ko)
13,dc/md,1,dc/md (translated to ko)
13,"board,",1,"board, (translated to ko)"
13,connect,1,connect (translated to ko)
13,sst,1,sst (translated to ko)
13,(09240-23400-71,1,(09240-23400-71 (translated to ko)
13,09230-13700-71),1,09230-13700-71) (translated to ko)
13,corresponding,1,corresponding (translated to ko)
13,connector,1,connector (translated to ko)
13,and,2,and (translated to ko)
13,measure,1,measure (translated to ko)
13,applied,1,applied (translated to ko)
13,voltage,1,voltage (translated to ko)
13,resistance,1,resistance (translated to ko)
13,at,1,at (translated to ko)
13,each,1,each (translated to ko)
13,connector.,1,connector. (translated to ko)
13,always,1,always (translated to ko)
13,disconnect,1,disconnect (translated to ko)
13,battery,1,battery (translated to ko)
13,plug,1,plug (translated to ko)
13,before,1,before (translated to ko)
13,measuring,1,measuring (translated to ko)
13,resistance.,1,resistance. (translated to ko)
14,(2),1,(2) (translated to ko)
14,measurement,1,measurement (translated to ko)
14,method,1,method (translated to ko)
14,and,1,and (translated to ko)
14,standard,1,standard (translated to ko)
14,list,2,list (translated to ko)
14,①,1,① (translated to ko)
14,how,1,how (translated to ko)
14,to,1,to (translated to ko)
14,read,1,read (translated to ko)
14,the,1,the (translated to ko)
24,mmp,1,mmp (translated to ko)
24,board,1,board (translated to ko)
25,3.14,1,3.14 (translated to ko)
25,ps,1,ps (translated to ko)
25,system,1,system (translated to ko)
25,scpu,1,scpu (translated to ko)
25,board,1,board (translated to ko)
25,cn140,1,cn140 (translated to ko)
25,connector:,1,connector: (translated to ko)
25,for,1,for (translated to ko)
25,software,1,software (translated to ko)
25,writing,1,writing (translated to ko)
25,and,1,and (translated to ko)
25,not,1,not (translated to ko)
25,connected,1,connected (translated to ko)
25,cn141,1,cn141 (translated to ko)
25,connector,1,connector (translated to ko)
25,basic,1,basic (translated to ko)
25,conditions,1,conditions (translated to ko)
25,(battery,1,(battery (translated to ko)
25,plug,1,plug (translated to ko)
25,"on,",1,"on, (translated to ko)"
25,key,1,key (translated to ko)
25,switch,1,switch (translated to ko)
25,on),1,on) (translated to ko)
28,dc/sd,1,dc/sd (translated to ko)
28,board,1,board (translated to ko)
28,cn147,1,cn147 (translated to ko)
28,connector,1,connector (translated to ko)
28,basic,1,basic (translated to ko)
28,conditions,1,conditions (translated to ko)
28,(battery,1,(battery (translated to ko)
28,plug,1,plug (translated to ko)
28,"on,",1,"on, (translated to ko)"
28,key,1,key (translated to ko)
28,switch,1,switch (translated to ko)
28,on),1,on) (translated to ko)
30,multi-display,1,multi-display (translated to ko)
30,functions,1,functions (translated to ko)
33,led,6,led (translated to ko)
33,display,6,display (translated to ko)
33,general,1,general (translated to ko)
33,the,24,the (translated to ko)
33,has,1,has (translated to ko)
33,two,1,two (translated to ko)
33,main,1,main (translated to ko)
33,functions:,1,functions: (translated to ko)
33,battery,6,battery (translated to ko)
33,charge,7,charge (translated to ko)
33,indication,2,indication (translated to ko)
33,and,5,and (translated to ko)
33,diagnostic,3,diagnostic (translated to ko)
33,display.,1,display. (translated to ko)
33,it,3,it (translated to ko)
33,acts,1,acts (translated to ko)
33,as,4,as (translated to ko)
33,indicator,2,indicator (translated to ko)
33,while,1,while (translated to ko)
33,vehicle,2,vehicle (translated to ko)
33,is,6,is (translated to ko)
33,operating,1,operating (translated to ko)
33,normally.,1,normally. (translated to ko)
33,when,3,when (translated to ko)
33,an,2,an (translated to ko)
33,error,2,error (translated to ko)
33,occurs,1,occurs (translated to ko)
33,in,1,in (translated to ko)
33,electrical,1,electrical (translated to ko)
33,"system,",1,"system, (translated to ko)"
33,automatically,2,automatically (translated to ko)
33,switched,1,switched (translated to ko)
33,to,7,to (translated to ko)
33,warn,2,warn (translated to ko)
33,operator,2,operator (translated to ko)
33,of,7,of (translated to ko)
33,make,1,make (translated to ko)
33,controller,1,controller (translated to ko)
33,control,1,control (translated to ko)
33,traveling,2,traveling (translated to ko)
33,material,2,material (translated to ko)
33,handling,2,handling (translated to ko)
33,ensure,1,ensure (translated to ko)
33,safety.,1,safety. (translated to ko)
33,alarm,2,alarm (translated to ko)
33,functions,1,functions (translated to ko)
33,1.,1,1. (translated to ko)
33,appearance,1,appearance (translated to ko)
33,function,1,function (translated to ko)
33,each,2,each (translated to ko)
33,are,1,are (translated to ko)
33,illustrated.,1,illustrated. (translated to ko)
33,2.,1,2. (translated to ko)
33,indicated,1,indicated (translated to ko)
33,by,1,by (translated to ko)
33,on/off,1,on/off (translated to ko)
33,listed,1,listed (translated to ko)
33,below.,1,below. (translated to ko)
33,3.,1,3. (translated to ko)
33,upon,1,upon (translated to ko)
33,key,1,key (translated to ko)
33,switch,1,switch (translated to ko)
33,"on,",1,"on, (translated to ko)"
33,all,1,all (translated to ko)
33,leds,2,leds (translated to ko)
33,come,1,come (translated to ko)
33,on,2,on (translated to ko)
33,for,1,for (translated to ko)
33,2,1,2 (translated to ko)
33,seconds,1,seconds (translated to ko)
33,enable,1,enable (translated to ko)
33,defective,1,defective (translated to ko)
33,check.,1,check. (translated to ko)
33,forms,1,forms (translated to ko)
33,after,1,after (translated to ko)
33,initial,1,initial (translated to ko)
33,lighting,2,lighting (translated to ko)
33,(battery,1,(battery (translated to ko)
33,charge).,1,charge). (translated to ko)
33,if,1,if (translated to ko)
33,any,1,any (translated to ko)
33,abnormality,1,abnormality (translated to ko)
33,"found,",1,"found, (translated to ko)"
33,indicates,1,indicates (translated to ko)
33,result,1,result (translated to ko)
33,(which,1,(which (translated to ko)
33,will,1,will (translated to ko)
33,be,1,be (translated to ko)
33,explained,1,explained (translated to ko)
33,later).,1,later). (translated to ko)
33,4.,1,4. (translated to ko)
33,number,1,number (translated to ko)
33,decreases,2,decreases (translated to ko)
33,drops.,1,drops. (translated to ko)
33,discharge,3,discharge (translated to ko)
33,level,5,level (translated to ko)
33,set,2,set (translated to ko)
33,(at,1,(at (translated to ko)
33,setting,1,setting (translated to ko)
33,approx.,2,approx. (translated to ko)
33,80%,1,80% (translated to ko)
33,full,2,full (translated to ko)
33,"capacity),",2,"capacity), (translated to ko)"
33,lamp,1,lamp (translated to ko)
33,lit,1,lit (translated to ko)
33,low,1,low (translated to ko)
33,status.,1,status. (translated to ko)
33,5.,1,5. (translated to ko)
33,drops,1,drops (translated to ko)
33,further,1,further (translated to ko)
33,from,1,from (translated to ko)
33,another,1,another (translated to ko)
33,(initial,1,(initial (translated to ko)
33,setting:,1,setting: (translated to ko)
33,90%,1,90% (translated to ko)
33,during,1,during (translated to ko)
33,disabled.,1,disabled. (translated to ko)
38,hour,7,hour (translated to ko)
38,meter,7,meter (translated to ko)
38,1.,1,1. (translated to ko)
38,an,1,an (translated to ko)
38,is,5,is (translated to ko)
38,standard,2,standard (translated to ko)
38,equipment,1,equipment (translated to ko)
38,on,3,on (translated to ko)
38,all,1,all (translated to ko)
38,vehicles.,1,vehicles. (translated to ko)
38,while,1,while (translated to ko)
38,a,1,a (translated to ko)
38,round,1,round (translated to ko)
38,equipped,1,equipped (translated to ko)
38,vehicles,2,vehicles (translated to ko)
38,(with,1,(with (translated to ko)
38,led,1,led (translated to ko)
38,"display),",1,"display), (translated to ko)"
38,the,10,the (translated to ko)
38,function,1,function (translated to ko)
38,included,1,included (translated to ko)
38,in,1,in (translated to ko)
38,lcd,1,lcd (translated to ko)
38,display,1,display (translated to ko)
38,with,2,with (translated to ko)
38,optional,1,optional (translated to ko)
38,lcd.,1,lcd. (translated to ko)
38,2.,1,2. (translated to ko)
38,starts,1,starts (translated to ko)
38,upon,1,upon (translated to ko)
38,key,1,key (translated to ko)
38,switch,1,switch (translated to ko)
38,on.,1,on. (translated to ko)
38,minimum,1,minimum (translated to ko)
38,unit,1,unit (translated to ko)
38,of,3,of (translated to ko)
38,indication,1,indication (translated to ko)
38,0.1,1,0.1 (translated to ko)
38,hour.,1,hour. (translated to ko)
38,3.,1,3. (translated to ko)
38,since,1,since (translated to ko)
38,not,1,not (translated to ko)
38,activated,1,activated (translated to ko)
38,at,2,at (translated to ko)
38,time,1,time (translated to ko)
38,shipment,1,shipment (translated to ko)
38,from,1,from (translated to ko)
38,"factory,",1,"factory, (translated to ko)"
38,connect,1,connect (translated to ko)
38,cn41,1,cn41 (translated to ko)
38,starting,2,starting (translated to ko)
38,connector,1,connector (translated to ko)
38,before,1,before (translated to ko)
38,operation,1,operation (translated to ko)
38,each,1,each (translated to ko)
38,customer.,1,customer. (translated to ko)
38,note:,1,note: (translated to ko)
38,connection,1,connection (translated to ko)
38,has,1,has (translated to ko)
38,nothing,1,nothing (translated to ko)
38,to,1,to (translated to ko)
38,do,1,do (translated to ko)
38,controller,1,controller (translated to ko)
38,functions,1,functions (translated to ko)
38,(lift,1,(lift (translated to ko)
38,interrupt,1,interrupt (translated to ko)
38,for,1,for (translated to ko)
38,example).,1,example). (translated to ko)
39,lift,3,lift (translated to ko)
39,interrupt,3,interrupt (translated to ko)
39,function,3,function (translated to ko)
39,and,1,and (translated to ko)
39,cancellation,1,cancellation (translated to ko)
39,procedure,1,procedure (translated to ko)
39,the,5,the (translated to ko)
39,is,1,is (translated to ko)
39,enabled,1,enabled (translated to ko)
39,at,1,at (translated to ko)
39,time,1,time (translated to ko)
39,of,1,of (translated to ko)
39,shipment,1,shipment (translated to ko)
39,from,2,from (translated to ko)
39,factory,1,factory (translated to ko)
39,to,2,to (translated to ko)
39,disable,1,disable (translated to ko)
39,material,1,material (translated to ko)
39,handling,1,handling (translated to ko)
39,during,1,during (translated to ko)
39,traveling.,1,traveling. (translated to ko)
39,cancel,1,cancel (translated to ko)
39,as,1,as (translated to ko)
39,follows,1,follows (translated to ko)
39,for,1,for (translated to ko)
39,vehicle,1,vehicle (translated to ko)
39,demonstration,1,demonstration (translated to ko)
39,or,1,or (translated to ko)
39,according,1,according (translated to ko)
39,request,1,request (translated to ko)
39,a,1,a (translated to ko)
39,user.,1,user. (translated to ko)
40,plug-in,6,plug-in (translated to ko)
40,analyzer,5,analyzer (translated to ko)
40,(sst),1,(sst) (translated to ko)
40,general,1,general (translated to ko)
40,1.,1,1. (translated to ko)
40,for,2,for (translated to ko)
40,a,1,a (translated to ko)
40,standard,1,standard (translated to ko)
40,vehicle,4,vehicle (translated to ko)
40,with,3,with (translated to ko)
40,an,1,an (translated to ko)
40,led,1,led (translated to ko)
40,"display,",1,"display, (translated to ko)"
40,use,1,use (translated to ko)
40,the,15,the (translated to ko)
40,sst,1,sst (translated to ko)
40,to,5,to (translated to ko)
40,indicate,1,indicate (translated to ko)
40,status,1,status (translated to ko)
40,of,1,of (translated to ko)
40,each,1,each (translated to ko)
40,electrical,2,electrical (translated to ko)
40,system,3,system (translated to ko)
40,operation,1,operation (translated to ko)
40,such,1,such (translated to ko)
40,as,2,as (translated to ko)
40,"traveling,",1,"traveling, (translated to ko)"
40,material,1,material (translated to ko)
40,"handling,",1,"handling, (translated to ko)"
40,eps,1,eps (translated to ko)
40,or,1,or (translated to ko)
40,"acceleration,",1,"acceleration, (translated to ko)"
40,read,1,read (translated to ko)
40,information,1,information (translated to ko)
40,on,2,on (translated to ko)
40,errors,1,errors (translated to ko)
40,detected,1,detected (translated to ko)
40,by,1,by (translated to ko)
40,"controller,",1,"controller, (translated to ko)"
40,and,3,and (translated to ko)
40,perform,1,perform (translated to ko)
40,tuning,2,tuning (translated to ko)
40,set,1,set (translated to ko)
40,functions.,2,functions. (translated to ko)
40,2.,1,2. (translated to ko)
40,enables,1,enables (translated to ko)
40,"quick,",1,"quick, (translated to ko)"
40,easy,1,easy (translated to ko)
40,servicing,1,servicing (translated to ko)
40,match,1,match (translated to ko)
40,customer,1,customer (translated to ko)
40,needs.,1,needs. (translated to ko)
40,3.,1,3. (translated to ko)
40,supports,1,supports (translated to ko)
40,operator,1,operator (translated to ko)
40,in,1,in (translated to ko)
40,checking,1,checking (translated to ko)
40,control,1,control (translated to ko)
40,troubleshooting,1,troubleshooting (translated to ko)
40,through,1,through (translated to ko)
40,communication,1,communication (translated to ko)
40,traveling/material,1,traveling/material (translated to ko)
40,handling,1,handling (translated to ko)
40,controller.,1,controller. (translated to ko)
40,4.,1,4. (translated to ko)
40,functions,1,functions (translated to ko)
40,are,1,are (translated to ko)
40,same,1,same (translated to ko)
40,those,1,those (translated to ko)
40,lcd,1,lcd (translated to ko)
40,display,1,display (translated to ko)
40,(option).,1,(option). (translated to ko)
40,note:,1,note: (translated to ko)
40,"analyzer,",1,"analyzer, (translated to ko)"
40,"however,",1,"however, (translated to ko)"
40,cannot,1,cannot (translated to ko)
40,check,1,check (translated to ko)
40,sas,1,sas (translated to ko)
43,the,8,the (translated to ko)
43,plug-in,1,plug-in (translated to ko)
43,analyzer,1,analyzer (translated to ko)
43,displays,1,displays (translated to ko)
43,controller,1,controller (translated to ko)
43,version,1,version (translated to ko)
43,for,2,for (translated to ko)
43,approx.,1,approx. (translated to ko)
43,15,1,15 (translated to ko)
43,"seconds,",1,"seconds, (translated to ko)"
43,followed,1,followed (translated to ko)
43,by,1,by (translated to ko)
43,step,1,step (translated to ko)
43,below.,1,below. (translated to ko)
43,when,2,when (translated to ko)
43,display,1,display (translated to ko)
43,indication,1,indication (translated to ko)
43,is,2,is (translated to ko)
43,normal:,1,normal: (translated to ko)
43,screen,1,screen (translated to ko)
43,automatically,1,automatically (translated to ko)
43,changes,1,changes (translated to ko)
43,to,2,to (translated to ko)
43,language,2,language (translated to ko)
43,set,2,set (translated to ko)
43,screen.,2,screen. (translated to ko)
43,an,1,an (translated to ko)
43,error,1,error (translated to ko)
43,code,1,code (translated to ko)
43,indicated:,1,indicated: (translated to ko)
43,press,1,press (translated to ko)
43,mode,1,mode (translated to ko)
43,switch,1,switch (translated to ko)
43,transition,1,transition (translated to ko)
45,4.16,1,4.16 (translated to ko)
45,4.,1,4. (translated to ko)
45,press,3,press (translated to ko)
45,switch,3,switch (translated to ko)
45,③,3,③ (translated to ko)
45,to,6,to (translated to ko)
45,call,1,call (translated to ko)
45,the,16,the (translated to ko)
45,main,2,main (translated to ko)
45,menu,6,menu (translated to ko)
45,screen.,2,screen. (translated to ko)
45,5.,1,5. (translated to ko)
45,on,2,on (translated to ko)
45,"screen,",1,"screen, (translated to ko)"
45,items,1,items (translated to ko)
45,2,1,2 (translated to ko)
45,and,9,and (translated to ko)
45,7,1,7 (translated to ko)
45,are,2,are (translated to ko)
45,indicated,2,indicated (translated to ko)
45,'2.,1,'2. (translated to ko)
45,7fb',1,7fb' (translated to ko)
45,is,4,is (translated to ko)
45,selected.,1,selected. (translated to ko)
45,(1),2,(1) (translated to ko)
45,2.,1,2. (translated to ko)
45,7fb,4,7fb (translated to ko)
45,function,8,function (translated to ko)
45,when,2,when (translated to ko)
45,this,6,this (translated to ko)
45,item,1,item (translated to ko)
45,selected,1,selected (translated to ko)
45,"entered,",1,"entered, (translated to ko)"
45,screen,2,screen (translated to ko)
45,appears.,2,appears. (translated to ko)
45,(2),2,(2) (translated to ko)
45,7.,2,7. (translated to ko)
45,tester,3,tester (translated to ko)
45,set,7,set (translated to ko)
45,control,1,control (translated to ko)
45,functions,1,functions (translated to ko)
45,as,1,as (translated to ko)
45,"functions,",1,"functions, (translated to ko)"
45,only,1,only (translated to ko)
45,contrast,1,contrast (translated to ko)
45,used.,1,used. (translated to ko)
45,6.,1,6. (translated to ko)
45,here,1,here (translated to ko)
45,select,2,select (translated to ko)
45,"function,",1,"function, (translated to ko)"
45,"""7fb",1,"""7fb (translated to ko)"
45,"menu""",1,"menu"" (translated to ko)"
45,1.,1,1. (translated to ko)
45,analyzer,1,analyzer (translated to ko)
45,indicates,1,indicates (translated to ko)
45,operation,1,operation (translated to ko)
45,status,1,status (translated to ko)
45,of,1,of (translated to ko)
45,electrical,1,electrical (translated to ko)
45,system,1,system (translated to ko)
45,reads,1,reads (translated to ko)
45,information,1,information (translated to ko)
45,errors,1,errors (translated to ko)
45,detected,1,detected (translated to ko)
45,by,2,by (translated to ko)
45,controller.,1,controller. (translated to ko)
45,tuning,1,tuning (translated to ko)
45,for,3,for (translated to ko)
45,fine,1,fine (translated to ko)
45,adjustment,1,adjustment (translated to ko)
45,related,1,related (translated to ko)
45,traveling,1,traveling (translated to ko)
45,material,1,material (translated to ko)
45,handling.,1,handling. (translated to ko)
45,(3),1,(3) (translated to ko)
45,option,2,option (translated to ko)
45,controls,1,controls (translated to ko)
45,controller,1,controller (translated to ko)
45,according,1,according (translated to ko)
45,setting.,1,setting. (translated to ko)
45,a,1,a (translated to ko)
45,vehicle,1,vehicle (translated to ko)
45,with,1,with (translated to ko)
45,led,1,led (translated to ko)
45,"display,",1,"display, (translated to ko)"
45,use,1,use (translated to ko)
45,battery,1,battery (translated to ko)
45,type,1,type (translated to ko)
45,(japanese,1,(japanese (translated to ko)
45,or,2,or (translated to ko)
45,locally,1,locally (translated to ko)
45,purchased).,1,purchased). (translated to ko)
45,desired,1,desired (translated to ko)
45,operating,1,operating (translated to ko)
45,switches,1,switches (translated to ko)
45,①,1,① (translated to ko)
45,②,1,② (translated to ko)
45,(enter),1,(enter) (translated to ko)
45,transition,1,transition (translated to ko)
45,setting,1,setting (translated to ko)
46,analyzer,6,analyzer (translated to ko)
46,general,1,general (translated to ko)
46,1.,1,1. (translated to ko)
46,the,30,the (translated to ko)
46,function,5,function (translated to ko)
46,of,11,of (translated to ko)
46,plug-in,2,plug-in (translated to ko)
46,allows,1,allows (translated to ko)
46,operation,2,operation (translated to ko)
46,status,4,status (translated to ko)
46,electrical,3,electrical (translated to ko)
46,system,3,system (translated to ko)
46,including,1,including (translated to ko)
46,main,1,main (translated to ko)
46,traveling,3,traveling (translated to ko)
46,and,8,and (translated to ko)
46,material,3,material (translated to ko)
46,handling,4,handling (translated to ko)
46,"circuits,",1,"circuits, (translated to ko)"
46,operating,1,operating (translated to ko)
46,systems,2,systems (translated to ko)
46,such,1,such (translated to ko)
46,as,2,as (translated to ko)
46,"accelerator,",1,"accelerator, (translated to ko)"
46,functions,3,functions (translated to ko)
46,sensors,2,sensors (translated to ko)
46,to,6,to (translated to ko)
46,be,2,be (translated to ko)
46,"checked,",1,"checked, (translated to ko)"
46,which,1,which (translated to ko)
46,are,2,are (translated to ko)
46,useful,1,useful (translated to ko)
46,for,2,for (translated to ko)
46,troubleshooting.,1,troubleshooting. (translated to ko)
46,2.,1,2. (translated to ko)
46,enable,1,enable (translated to ko)
46,"quick,",1,"quick, (translated to ko)"
46,easy,1,easy (translated to ko)
46,servicing.,1,servicing. (translated to ko)
46,3.,1,3. (translated to ko)
46,supports,1,supports (translated to ko)
46,control,1,control (translated to ko)
46,inspection,1,inspection (translated to ko)
46,troubleshooting,1,troubleshooting (translated to ko)
46,through,1,through (translated to ko)
46,communication,1,communication (translated to ko)
46,with,1,with (translated to ko)
46,traveling/material,1,traveling/material (translated to ko)
46,controller.,2,controller. (translated to ko)
46,4.,1,4. (translated to ko)
46,follows:,1,follows: (translated to ko)
46,(1),2,(1) (translated to ko)
46,diagnosis,2,diagnosis (translated to ko)
46,memory,1,memory (translated to ko)
46,(diag,1,(diag (translated to ko)
46,memory),1,memory) (translated to ko)
46,controller,2,controller (translated to ko)
46,stores,1,stores (translated to ko)
46,up,1,up (translated to ko)
46,10,1,10 (translated to ko)
46,error,3,error (translated to ko)
46,codes,2,codes (translated to ko)
46,(diagnosis,1,(diagnosis (translated to ko)
46,codes),1,codes) (translated to ko)
46,related,2,related (translated to ko)
46,detected,2,detected (translated to ko)
46,in,4,in (translated to ko)
46,past.,1,past. (translated to ko)
46,reads,1,reads (translated to ko)
46,stored,1,stored (translated to ko)
46,indicates,6,indicates (translated to ko)
